GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
620L200US36020,36020,"Assembly District 20 (2010), New York",128831,100.0,126617,98.3,108265,84.0,7426,5.8,219,0.2,81,0.1,0,0.0,0,0.0,138,0.1,4848,3.8,48,0.0,5811,4.5,2214,1.7,1067,0.8,1021,0.8,61,0.0,65,0.1,128831,100.0,15842,12.3,617,0.5,2904,2.3,437,0.3,11884,9.2,112989,87.7,128831,100.0,126617,98.3,14808,11.5,111809,86.8,2214,1.7,1034,0.8,1180,0.9
620L200US36021,36021,"Assembly District 21 (2010), New York",132039,100.0,128391,97.2,81180,61.5,27164,20.6,444,0.3,140,0.1,1,0.0,0,0.0,303,0.2,11764,8.9,39,0.0,7800,5.9,3648,2.8,1747,1.3,1621,1.2,118,0.1,162,0.1,132039,100.0,19849,15.0,1283,1.0,4181,3.2,640,0.5,13745,10.4,112190,85.0,132039,100.0,128391,97.2,18258,13.8,110133,83.4,3648,2.8,1591,1.2,2057,1.6
620L200US36022,36022,"Assembly District 22 (2010), New York",127045,100.0,123228,97.0,22683,17.9,4718,3.7,328,0.3,94,0.1,2,0.0,0,0.0,232,0.2,87519,68.9,89,0.1,7891,6.2,3817,3.0,1686,1.3,1946,1.5,80,0.1,105,0.1,127045,100.0,19816,15.6,1277,1.0,2291,1.8,446,0.4,15802,12.4,107229,84.4,127045,100.0,123228,97.0,18387,14.5,104841,82.5,3817,3.0,1429,1.1,2388,1.9
620L200US36023,36023,"Assembly District 23 (2010), New York",124069,100.0,119413,96.2,78567,63.3,16701,13.5,755,0.6,220,0.2,0,0.0,0,0.0,535,0.4,10430,8.4,81,0.1,12879,10.4,4656,3.8,2416,1.9,1980,1.6,122,0.1,138,0.1,124069,100.0,28682,23.1,1473,1.2,9899,8.0,379,0.3,16931,13.6,95387,76.9,124069,100.0,119413,96.2,26564,21.4,92849,74.8,4656,3.8,2118,1.7,2538,2.0
620L200US36024,36024,"Assembly District 24 (2010), New York",124351,100.0,120433,96.8,55011,44.2,10513,8.5,313,0.3,77,0.1,0,0.0,0,0.0,236,0.2,49932,40.2,78,0.1,4586,3.7,3918,3.2,1629,1.3,2031,1.6,104,0.1,154,0.1,124351,100.0,13017,10.5,473,0.4,3458,2.8,541,0.4,8545,6.9,111334,89.5,124351,100.0,120433,96.8,11952,9.6,108481,87.2,3918,3.2,1065,0.9,2853,2.3
620L200US36025,36025,"Assembly District 25 (2010), New York",125471,100.0,118142,94.2,45216,36.0,10306,8.2,817,0.7,150,0.1,1,0.0,0,0.0,666,0.5,49071,39.1,122,0.1,12610,10.1,7329,5.8,3322,2.6,3591,2.9,250,0.2,166,0.1,125471,100.0,25052,20.0,2325,1.9,4209,3.4,480,0.4,18038,14.4,100419,80.0,125471,100.0,118142,94.2,23154,18.5,94988,75.7,7329,5.8,1898,1.5,5431,4.3
620L200US36026,36026,"Assembly District 26 (2010), New York",123681,100.0,121246,98.0,79193,64.0,2511,2.0,124,0.1,52,0.0,0,0.0,0,0.0,72,0.1,35684,28.9,15,0.0,3719,3.0,2435,2.0,880,0.7,1411,1.1,59,0.0,85,0.1,123681,100.0,13261,10.7,512,0.4,3010,2.4,696,0.6,9043,7.3,110420,89.3,123681,100.0,121246,98.0,12333,10.0,108913,88.1,2435,2.0,928,0.8,1507,1.2
620L200US36027,36027,"Assembly District 27 (2010), New York",124451,100.0,118815,95.5,68174,54.8,10894,8.8,663,0.5,227,0.2,3,0.0,0,0.0,433,0.3,25932,20.8,76,0.1,13076,10.5,5636,4.5,2393,1.9,2889,2.3,155,0.1,199,0.2,124451,100.0,32060,25.8,2014,1.6,6766,5.4,629,0.5,22651,18.2,92391,74.2,124451,100.0,118815,95.5,29651,23.8,89164,71.6,5636,4.5,2409,1.9,3227,2.6
620L200US36028,36028,"Assembly District 28 (2010), New York",123186,100.0,119704,97.2,85691,69.6,2914,2.4,225,0.2,69,0.1,0,0.0,0,0.0,156,0.1,25415,20.6,50,0.0,5409,4.4,3482,2.8,1194,1.0,2049,1.7,88,0.1,151,0.1,123186,100.0,18268,14.8,963,0.8,4459,3.6,686,0.6,12160,9.9,104918,85.2,123186,100.0,119704,97.2,16962,13.8,102742,83.4,3482,2.8,1306,1.1,2176,1.8
620L200US36029,36029,"Assembly District 29 (2010), New York",122770,100.0,116883,95.2,8917,7.3,83288,67.8,982,0.8,271,0.2,1,0.0,0,0.0,710,0.6,12670,10.3,101,0.1,10925,8.9,5887,4.8,2970,2.4,2465,2.0,205,0.2,247,0.2,122770,100.0,17681,14.4,1316,1.1,3483,2.8,401,0.3,12481,10.2,105089,85.6,122770,100.0,116883,95.2,16004,13.0,100879,82.2,5887,4.8,1677,1.4,4210,3.4
620L200US36030,36030,"Assembly District 30 (2010), New York",122060,100.0,117735,96.5,73533,60.2,3490,2.9,657,0.5,166,0.1,1,0.0,0,0.0,490,0.4,25454,20.9,52,0.0,14549,11.9,4325,3.5,2287,1.9,1797,1.5,108,0.1,133,0.1,122060,100.0,34285,28.1,6457,5.3,6078,5.0,768,0.6,20982,17.2,87775,71.9,122060,100.0,117735,96.5,31964,26.2,85771,70.3,4325,3.5,2321,1.9,2004,1.6
